source,target
On - line English lesson 2nd time,Online English lesson 2nd time
difference about Christmas between America and Japan,Differences in Christmas celebrations between America and Japan
After the long over time last nidnight,After the long over time last night
Does this phrase sounds like a sarcasm or not ?,Does this phrase sounds like sarcasm or not ?
Sazae - san syndrom,Sazae - san syndrome
It is the first time I feel to learn English well is extremely crucial,It is the first time that I have felt it necessary to learn English well
It 's first time .,It 's the first time .
Does somebody know . . .,Does anyone know . . .
I think this site is pretty cool .,Pretty cool site .
Difference between `` germ `` and `` bacteria ``,The difference between `` germ `` and `` bacteria ``
Mother 's day,Mother 's day .
The English education in Japan .,The English Education in Japan .
My Plan to Improve English,My Plan to Improve my English
I started dieting recently .,"I started dieting recently ,"
seek for a side jobs ~ ~,Looking for a Side Job
We had much snow in Japan .,We had plenty of snow in Japan .
I went to picnic today ! !,I went to a picnic today ! !
I like a cat !,I like cats !
How often do you use `` approximately `` .,How often do you use `` approximately `` ?
Thinking contents of diary,Thinking of a diary topic .
I staeted Lang - 8 .,I started Lang - 8 .
Hi .,Hi .
My First Time visited the Reference Desk,My First Time visiting the Reference Desk
Just now,Right now -
my birthday trip,my birthday trip
Good evening,Good Evening
Formula Nippon Rd . 1 Qualifying,"Formula Nippon , Round 1 , Qualifying"
Hello again !,Hello again !
the first time to come here,My first time coming here
First time in writing my diary .,First time writing in my diary .
What does `` getting older `` means ?,What does `` getting older `` mean ?
freind 's birthday party,My friend 's birthday party
Self - introduction,Self Introduction
Hello everyone ! !,"Hello , everyone ! !"
This is my second time to writing an essay,This is my second time writing an essay
The value of Hotdog,The value of Hotdogs
I think I 'm gon na go to Hitori Karaoke ( Hito Kara ) today !,I think I 'm gon na go to Hitori Karaoke ( Hito Kara ) today !
English proverb,English proverbs
Buisiness Communication in Simple English / August 2010,Buisiness business Communication in Simple English / August 2010
Chupa chups,Chupa Chups
atarashhii tango .,atarashii tango .
I got earth quake now .,There is an earth quake now .
Creating a green campus,Creating a Green Campus
"IF you are sick , What do you hope in particular ?","If you are sick , what specifically do you hope for ?"
my thought continue .,My thought continues . . .
That I thought in the morning,What I thought in the morning .
Deposit refund episode 3,Deposit refund episode 3
What 's the hell ?,What the hell ?
Is official internal language needed in English ?,Is the official internal language in Rakuten need to be English ?
cockroach powered by the Sun,Cockroach Powered by the Sun
friend with benifits ? ?,friend with benefits ? ?
we just felt a earthquake again .,We just felt a earthquake again .
my trip to canada,My trip to Canada
japanese cartoon and music,Japanese cartoons and music
Trip to USA,Trip to the USA
Pre - test of law exam,Pre - test of Law exam
I 'm waiting to receive the I - Phone4 I alredy reserved,I 'm waiting to receive the I - Phone4 I already reserved
"Please , translate me what that guy had written me by e - mail .",Please translate for me what that guy had written me by e - mail .
Kansi recitation,Kanshi recitation
I 'm here !,I 'm Here !
A Huge Shock,A Huge Shock
Do you found first star of evening .,Do you look for the first star of the evening ?
Not so perfect saturday evening .,Not such a perfect Saturday evening .
Faverit resturant .,Our favourite restaurant .
a sunny day,A sunny day
My first diary with English,My first diary in English
I want cellar phone !,I want a cell phone !
This is the first time that I use Lang - 8 .,This is my first time using Lang - 8 .
I have a lot of foreigner friends .,I have a lot of foreign friends .
My lovely friends ! ( I 'm middle one ),My lovely friends ! ( I 'm the middle one ) .
The stage of the story is the U . K .,The stage of the story is in the U . K .
Pitartes of the Caribbean 4,Pirates of the Caribbean 4
interview for stadying abroad,Interview for studying abroad
one of my favorite movie lies,one of my favorite movie lines
stay at my friend 's home,stayed at my friend 's house
Mt . Fuji Eco Cycling,Mt . Fuji Eco Cycling
Hellow ! !,Hello !
end of the year but . . .,It 's the end of the year but . . .
This is my first Dialog,This is my first Entry .
Why are you always hurt me so heavy,Why do you always hurt me so heavily
This make me feel sick,This makes me feel sick
How good leaning system this is !,What a good learning system !
China Daily report : Shanghai will toll property tax soon,China Daily report : Shanghai will charge property tax soon
the book which I read now .,the book I 'm reading now .
Hello again,"Hello , Again"
Vaction Plan,Vacation Plan
I felt excitement at the happening of today,I was excited because of what happened today .
Volley Ball Game makes me happy ! !,Volleyball Game makes me happy ! !
For any native speaker of English learning Jpanese,For any native speaker of English learning Japanese
training for Eiken ( free talk ),Training for Eiken ( free talk )
Damn Jump Rope .,The Damn Jump Rope .
The curses of cell phone .,The curses of cell phones .
Now we can buy Show Leopard !,Snow Leopard is Available !
Congratulation of Japan !,Congratulation to Japan !
Have fun .,Have Fun .
"The digotal stick for old people , iPhone","The digital stick for old people , iPhone"
A good friends,Good friends
My New Year 's goals .,My New Year 's goals .
Thinking about domestic transfer,Thinking about a domestic transfer
I t is n't also warm and sunny today here .,Again it is n't warm and sunny today here .
I want to learn english and make more friends . . .,I want to learn English and make more friends . . .
weedend and spider,Weekend and spider
I NEED FULL ENGLISH,I NEED to learn good ENGLISH ?
Gallery space . . . .,Gallery space
03 . NOVENBER . 2009 DIARY,03 . NOVEMBER . 2009 DIARY
My 9th diary,My 9th diary entry
It 's a little Questionnaire for my co - workers ( only male ),It 's a little Questionnaire for my co - workers ( Male only )
Wan na say hi to all : ),I wanna say hi to all : )
what I realized today !,What I Realized Today !
a day in Children Hospital Central,A day at a Children 's Hospital Central
Noticing some difference,Noticing differences
The students of physical department,The students of physical the department
Much thanks from Japan,Many thanks from Japan
FIRST - writing . Please correct it .,FIRST entry . Please correct it .
I knew a good site .,I found a good site .
8 / 2 Pigs also has emotional reaction .,8 / 2 Pigs also have emotional reaction .
German Test Result,German Test Results
I went to watch the stage play,I went to watch a stage play
My plan to live in an abroad,My plan to live abroad
Working at a emergency room,Working at an emergency room
Working in the field for vegetables,Working in the fields for vegetables
Peach men,Peach Boy
rapid !,Rapid !
Now I 'm in the university,Now I 'm in the university
My faileds story,My feinting ( ? ) story
Prepareing athletic festival !,Preparing for the athletics festival !
Ryoko Hirosue in Library,Ryoko Hirosue in the Library
Hot weather in Shanghai,The Hot Weather in Shanghai
"came , have come , what 's the difference ?","came , has come , what 's the difference ?"
I went to shopping,I went shopping
Learning languages is to know new people and learn other cultures .,Learning languages is a way to know new people and to learn about other cultures .
It awfully got depressed .,I got awfully depressed .
"Next coming Saturday , I take a TOEFL test . . OMG . . .","Next Saturday , I take a TOEFL test . . OMG . . ."
Franch is very difficult,French is very difficult
Consumer of tissue,Becoming a tissue consumer
weding ceremony .,wedding ceremony .
not to satisfy,not satisfied
try my best,I 'll try my best
My first dialy !,My first diary !
Quarrel with friend,Quarrel with a friend
We do n't want a war in this country,We do n't want a war in this country .
Learnig Chinese,Learning Chinese
Last day of my winter vacation .,The last day of my winter vacation .
A intresting day,An interesting day
Where is my sunday . ( ToT ),Where is my Sunday ? ( ToT )
drink party,Drinking party
An uninhabited island life !,Life on an uninhabited island !
I have a question,I have a question
I bought a reference of English,I bought an English reference book
What a tensed day,What a tense day
What Russian musicians you know ?,What Russian musicians do you know ?
Honeymoon _ Maldive,Maldive Honeymoon
the lastday this month,The last day of this month
"it 's my first writing , hello ! : )","It 's my first time writing , hello ! : )"
The grasses on my desk,The grass on my desk
Exercise Class For Infant,Exercise Class For Infants
"My nose is bad - condition , now .",My nose is in bad condition now .
Is This Strange For you ?,Is this strange to you ?
Situation of using the word `` Although ``,When to use the word `` Although ``
"Hollidays ! Oh , eee !","Holidays ! Oh , eee !"
I 'm learning salsa .,I 'm learning salsa dancing .
it was good day,It was a good day
Ideal life on the campus,Ideal campus life
About shoplifters of children,About young shoplifters
My beautiful memory in Hong Kong . `` I ca n't forget this even now ``,My beautiful memory in Hong Kong . `` A trip I can never forget ``
I have to make a presentation on the day after tomorrow .,I have to make a presentation the day after tomorrow .
The nightmare,The Nightmare
English is opposite ( ? ) to Korean in procedure .,English is opposite ( or : the reverse of ) Korean in word order .
