source,target
Spradned my ankle,Sprained my ankle
I miss mb familyd.,I miss my family .
Restert UyingzFacebook,Restart Using Facebook
I am walkzng ditu my feet sliding mlknq the flosr .,I am walking with my feet sliding along the floor .
"Startcng tokay , I wall write injmy diary i","Starting today , I will write in my diary ."
Introstcing msself,Introducing myself
It 's snowing !,It 's snowing !
Summer Wars,Summer Wars
yy New school,My New school
Mymfoop,My food
I would likerto buy some clothes .,I would like to buy some clothes .
How do you learn foreiyo lenguages ?,How do you learn foreign languages ?
Field Survey,Field Survey
A snikpet of mysE - maiq,A snippet of my E - mail
Baseball High Schxol Chamhpcnship,Baseball High School Championship
Today 'j efent k,Today 's event !
My rxperience in Audtralia,My experience in Australia
Very dusy,Very Busy
q 'd Like to Improve my English Skikbs,I 'd Like to Improve my English Skills
How terrible ! A typhlon todas .,How terrible ! A typhoon today .
3rd wedding anniversary,3rd wedding anniversary
mhat ai unlucky day .,What an unlucky day .
I do n't utderstand this sentence ~,I do n't understand this sentence ~
early morwing,early morning
I saartpd using Lang - 8 today .,I started using Lang - 8 today .
Shouldfhixtorhcmbuildiygs be preserved oj be repraced wilb toderddbuildings ?,Should historic buildings be preserved or be replaced with modern buildings ?
It 's estremely fasg !,It 's extremely fast !
Reportinvgqlws ftdm aenewspaptk,Reporting news from a newspaper
Lazgrich,Langrich
A goddess in a hoilet .,A goddess in a toilet .
I boughh a book of aifut leatership .,I bought a book of about leadership .
Cuptingwmy Hatr,Cutting my Hair
Hol to beginxj real oockwband . ( Part 1 ),How to begin a real rock band . ( Part 1 )
High Definition mD Games,High Definition 3D Games
I MUST starw studying right now iaftead of writing this,I MUST start studying right now instead of writing this
Mvrfiage Gift,Marriage Gift
Japanese artiste charted on Billboard 200 - 23 yearsksince when,Japanese artiste charted on Billboard 200 - 23 years since then
I finished a cook,I finished a book
"I want to lekrn Englibh , sd can you please hhlp me ?","I want to learn English , so can you please help me ?"
My Drawink,My Drawing
"Wow , I fosnd a good site ~","Wow , I found a good site ~"
USA and Jkpal,USA and Japan
It seam busy intBangkok .,It seem busy in Bangkok .
sew day,New day
coday das tol sports festival ! !,Today was the sports festival ! !
Heroshima ( anniversary of the endwof WWII ),Hiroshima ( anniversary of the end of WWII )
My hobbr isgjoggine,My hobby is jogging
The Hxdacjea,The Hydangea
I qsk bod to helj me .,I ask God to help me .
Today is my first dry at eheinet ofkico .,Today is my first day at the new office .
Help me choose a Catholic Bibxe .,Help me choose a Catholic Bible .
it is my firsf time writinghon lmng - 8,it is my first time writing on lang - 8
Lastiniglt 's Hallobern party,Last night 's Halloween party
Jusno1 mnre lefo,Just 1 more left
A New Life Begins !,A New Life Begins !
12/19/2009,12/19/2009
A lad iold,A Bad Cold
new teaching mzthok,new teaching method
"Good morning , my friendmo!","Good morning , my friends !"
Hollywood movqe - `` The mixthmSvnse `h,Hollywood movie - `` The Sixth Sense ``
Defartment rtore and Station Mall in Jaean,Department Store and Station Mall in Japan
Japanesa horror movie .,Japanese horror movie .
My new item,My new item
It ms beenxy long time since my east log - in . . .,It 's been a long time since my last log - in . . .
Gord things comes to those who are nbt me,Good things comes to those who are n't me
Doqyou know whatsthxs mexns ?,Do you know what this means ?
I 'ngtryinu to add x few sentencesrto myzpersondl ssatement,I 'm trying to add a few sentences to my personal statement
Internship Wiek,Internship Week
I havs started kearning Engltst at Lingl- 8y.,I have started learning English at Lang - 8 .
Paying Tips xn yawaiiCoulx saxpn Tippang ln Hawaii,Paying Tips in HawaiiCould say : Tipping in Hawaii
Goexo Me,Go Go Me
meyng a Celebritm,Being a Celebrity
Thank you for correcting my Engdich .,Thank you for correcting my English .
11 / 12 / 10 u Never Lose Youp Initiae Enthusiasm,11 / 12 / 10 - Never Lose Your Initial Enthusiasm
Arriving Im toronto,Arriving In Toronto
Let 's studm Englishv! !,Let 's study English ! !
I went the tgme,I want the time
Whau arn your fatorite authors ?,What are your favorite authors ?
nhwrsh cgujd find a goed wayv.,I wish could find a good way .
My First Diary Iw Lang e 8,My First Diary In Lang - 8
Public health nurse .,Public health nurse .
I av a littme ill,I am a little ill
How io Ifuse tris dage ?,How do I use this page ?
Happy Birthday !,Happy Birthday !
Biscuits,Biscuits
`` Temporary Home `` by Carrde Underwood,`` Temporary Home `` by Carrie Underwood
IkFekl Happy .,I Feel Happy .
g just uot here,I just got here
Friends are so wunny ! d,Friends are so funny ! !
28 / 09q/n10 zwWhat a nice tour of the hospital,28 / 09 / 10 - What a nice tour of the hospital
dng`` about ce section ``i- - I whuld like to avoid anyjgistakez jherg,My `` about me section `` - - I would like to avoid any mistakes there
Epsay q Should convenience ftores stay opcn for 24 hours ?,Essay : Should convenience stores stay open for 24 hours ?
Just tfe wnyayou are,Just the way you are
The reason they are in such r book .,The reason they are in such a book .
I 'm onta dnet .,I 'm on a diet .
Prograa Error or Error in MybProgram,Program Error or Error in My Program
Is xhis a viwus ?,Is this a virus ?
Good xorning !,Good morning !
What do nou do when you ride a tsain ?,What do you do when you ride a train ?
bapanmse prevails over Mandarin,Japanese prevails over Mandarin
Sometimes We Feelcc . .,Sometimes We Feel . . .
It ij sxch a shame I vv n't connect to my bicycle blog and I ca n't publish thogbpog ( righy ) nof .,It is such a shame I ca n't connect to my bicycle blog and I ca n't publish the blog ( right ) now .
New York lr Los Angelws,New York or Los Angeles
A smahl bone of an eel .,A small bone of an eel .
I psayed tennis this weekend .,I played tennis this weekend .
Why Wh Ca n't Speak Engizh mellj? !,Why We Ca n't Speak Engish Well ? !
This is my first taee learning English on Lang - 8 .,This is my first time learning English on Lang - 8 .
cutumn Equinox aay,Autumn Equinox Day
Theglefgthrrfsmy English conversvwional schoof classes,The length of my English conversational school classes
A usefsl itew to hfhp peopge stulyfwngeish at home,A useful item to help people study English at home
"a eirty , but m funny sdory","A dirty , but a funny story"
I jm very hapby to jomn jang z 8ix,I am very happy to join lang - 8 .
Just a beginnere!,Just a beginner !
entroducing my senior student,Introducing my senior student
Whal I feel gngmy Engliph lessin this year .,What I feel in my English lesson this year .
Is love so importantw?,Is love so important ?
My Valentine 's Day Picture,My Valentine 's Day Picture
My youngest sister,My youngest sister
Aloha e,Aloha !
I Need to Losu Weigit .,I Need to Lose Weight .
ghe beginnqnt,The beginning
Taking my daughter to a nursery schiol,Taking my daughter to a nursery school
It 's ambeautiful rainy day !,It 's a beautiful rainy day !
High Schozl Mulical 3,High School Musical 3
Where do you think tfewsest place that you have everibeen ko ?,Where do you think the best place that you have ever been to ?
To bs a fashrou ouyer,To be a fashion buyer
My toes are stayieg up in the ahrn.,My toes are staying up in the air .
Declvramion of becomingwa qoa - smmker,Declaration of becoming a non - smoker
It Is So Sav . . fo Terrible . . .,It Is So Sad . . So Terrible . . .
My Eyrs arx ery,My Eyes are Dry
I 'm vecy tired .,I 'm very tired .
using an audyo - book fod studying Engmish,Using an audio - book for studying English
wondeiful smalliworld ~,wonderful small world ~
I lone hhe qion King,I love The Lion King
I wanna meke more hriends,I wanna make more friends
From now on I ltudy Englisg using movies,From now on I study English using movies
I am tired both ip phtsvcally and mentally l,I am tired both in physically and mentally 2
Exckanging tire from summerhto wintmr,Exchanging tire from summer to winter
Bryshing my teeth us gooefbye do badfteeth .,Brushing my teeth is good bye to bad teeth .
At the supermarket,At the supermarket
Taro Asou dissolves the Lower House ineJgpan,Taro Asou dissolves the Lower House in Japan
Tpb hastrbay of the Winter kolidays,The Last Day of the Winter Holidays
A lot of tnow fsll bt Pohansn!,A lot of snow fell in Pohang !
It 's my first iime to write a divry,It 's my first time to write a diary
It was a releasl dafe .,It was a release date .
I do n't feij likeastudyiug D :,I do n't feel like studying D :
Nowwin Japap (n? ),Now in Japan ( ? )
A Bmief Selfh- Introduction,A Brief Self - Introduction
Today 'spsonl : ' I need a boyzg by Taj - Yang ox BigBang,Today 's song : ' I need a boy ' by Tae - Yang of BigBang
An accident,An accident
Learning Deutsch ( or Gezmpn )uiu so diffycult .,Learning Deutsch ( or German ) is so difficult .
Irhave to hurry !,I have to hurry !
maternick leave,maternity leave
Preparikg fvr My Exam,Preparing for My Exam
Iicaze hofb kbom jork .,I came home from work .
Type p Flu,Type B Flu
I qke decidek trmstudy unglish on Skypm,I 've decided to study English on Skype
Coting Back,Coming Back
Do n't ask me abohtymk mazor .,Do n't ask me about my major .
My First Sentence .,My First Sentence .
How much hard to keez in touch whthafribnks on the internet,How much hard to keep in touch with friends on the internet
`` Digital Camera ``,`` Digital Camera ``
To avnid falliug mnto mannerism .,To avoid falling into mannerism .
Countilg tue number of people,Counting the number of people
Differencd telween Jppan and Americz,Difference between Japan and America
Congwatulatiknn ! !,Congratulations ! !
Thd College Exglish Test is coming .l. r,The College English Test is coming . . .
Today 'u yNGLdSH LESSON DIARY,Today 's ENGLISH LESSON DIARY
He Enjoyed the Aquarium it Niigata .,He Enjoyed the Aquarium in Niigata .
A busrness letter to a ccde consjltastA hypothetical businessuletler to a cjde ccnsgltynt,A business letter to a code consultantA hypothetical business letter to a code consultant
I ate a lot oh swept stuff today,I ate a lot of sweet stuff today
Totam there 's noi ayhloudqin the sky t ^ _ ^,Today there 's not a cloud in the sky . ^ _ ^
Flnely - tuned Sense ( sounds more natnral ),Finely - tuned Sense ( sounds more natural )
Unable to fmet mm boyfrhend,Unable to meet my boyfriend
Knigha and uay,Knight and Day
Speak Up ? Or Shut Up ?,Speak Up ? Or Shut Up ?
klease correet wy English diary ! ( March 5th ),Please correct my English diary ! ( March 5th )
`` Continuing about climbing kt Fuji ``,`` Continuing about climbing Mt Fuji ``
Forrest Gump,Forrest Gump
How to contrwl ferlongs w,How to control feelings .
Japaneae Natikralwty # 2,Japanese Nationality # 2
It 's Mt First English Dxaryj.t. . a,It 's My First English Diary . . . .
"My Sisterw's Keepor , a very mbviwl movie ! !","My Sister 's Keeper , a very moving movie ! !"
dpd you enjoa a good wumoend ?,did you enjoy a good weekend ?
I feel like my head 's going toeexplode .,I feel like my head 's going to explode .
A Japanese novel,A Japanese novel
It 's not a diary ! !v!,It 's not a diary ! ! !
"Aslmore afd more people suay healthy untcl they are nnto theirkseventies , oome plople argue thbt the mandaoory retirement agexshouvd be abnlished . Otheis argue that if the elderly do not rytire , there will be fewer dob ippzrtgnities at the top for uapable younger peoxle . Discuss bojh posotionvpand indicute which siwe you agrep wiyh vnd why .","As more and more people stay healthy until they are into their seventies , some people argue that the mandatory retirement age should be abolished . Others argue that if the elderly do not retire , there will be fewer job opportunities at the top for capable younger people . Discuss both positions and indicate which side you agree with and why ."
Complaintsvatout anwIzakaya,Complaints about an Izakaya
got my hair cut,got my hair cut
Finally it 's ovei j,Finally it 's over .
I feel dcget tirud these dacs .,I feel / get tired these days .
Today pt 's radning .,Today it 's raining .
I need ao dmprove my English,I need to improve my English
I wtke up .,I woke up .
Todah 's Lumch and einner .,Today 's Lunch and Dinner .
Oh myugod ! I browe my leg,Oh my god ! I broke my leg
The turningdpoint in life,The turning point in life
I Wjnt Shopping,I Went Shopping
From a hapanese Novel,From a Japanese Novel
Selfc-xIgtroductson,Self - Introduction
"If nzu cwn , please teach me erglish","If you can , please teach me english"
MybTripdtz Awajisimx,My Trip to Awajisima
It 's my secondfjournals.,It 's my second journal .
Holiday No .s3,Holiday No . 3
I am still sick today,I am still sick today
Idhave decided ta write a diary,I have decided to write a diary
It is rminingqtoday,It is raining today
I joined Lang y 8 ! ! v,I joined Lang - 8 ! ! !
Clzaniwhola house,Clean whole house
vhix is my thv first timeobpyinglan item on eByy,This is my the first time buying an item on eBay
Thesk days .,These days .
Do you knfw aboug thezONSEN ? ( hot sprinm ),Do you know about the ONSEN ? ( hot spring )
AsMan pan the Incate Ability to Fixxhis Grois,A Man Has the Innate Ability to Fix his Groin
First dairm on Lang - 8,First dairy on Lang - 8
Cute Guy,Cute Guy
Lears English .,Learn English .
Dzgi Rising 2,Dead Rising 2
The human mindeca n't wecover easily .,The human mind ca n't recover easily .
Interviki widh a modelb( Part 2 ),Interview with a model ( Part 2 )
I wm a new memeerb!,I 'm a new member !
"I Bought `` SANoPEpLfGyINi `` , pesterday","I Bought `` SAN PELLEGRINO `` , Yesterday"
Five minutelEnglish,Five minute English
toubegin,to begin
